,Unnamed: 0,Observed,Simulated
0,0,41.9,43.33629210927533
1,1,43.4,43.56301323196883
2,2,42.1,39.962248155936926
3,3,40.4,39.127563708879634
4,4,38.5,38.823682983810166
5,5,38.1,38.156510494902165
6,6,38.1,37.5784272838471
7,7,37.3,36.91388734395242
8,8,36.6,36.25432469491246
9,9,36.0,35.60674628195078
10,10,35.6,34.93888973950382
11,11,35.2,34.292172020027834
12,12,35.4,33.67532486575534
13,13,35.6,33.135129900266634
14,14,35.2,32.63687021294662
15,15,34.6,32.123929631828474
16,16,34.4,31.629535563111443
17,17,33.5,31.321366374778812
18,18,33.5,30.98191486568373
19,19,33.3,30.60817201866382
20,20,32.7,30.29463133913199
21,21,32.5,30.00943216395188
22,22,32.5,29.71084654523977
23,23,31.9,30.086658603064464
24,24,32.7,29.65921994026296
25,25,31.9,29.246853643574006
26,26,31.7,28.932070346347288
27,27,32.3,28.744240020269263
28,28,31.9,28.62730301150649
29,29,32.5,28.41218420068208
30,30,32.9,28.19053039383547
31,31,32.7,28.48813392172395
32,32,33.3,28.79948262909805
33,33,31.7,28.341472297366188
34,34,31.1,28.103060201826484
35,35,30.2,27.833809090409986
36,36,30.9,27.69594809104391
37,37,29.6,27.820473115434204
38,38,28.6,27.71061125264661
39,39,29.1,27.55150981118963
40,40,29.1,27.541420191991936
41,41,29.1,27.49960903919122
42,42,29.8,27.42152599863803
43,43,30.4,27.255069788124132
44,44,29.6,27.08051405634541
45,45,29.1,26.967334908998037
46,46,29.4,26.81086192450927
47,47,28.5,26.60329566492152
48,48,29.1,26.66825824487412
49,49,28.6,26.66853650394081
50,50,28.0,26.698051061220745
51,51,27.7,27.2041074584683
52,52,27.1,27.021152122117535
53,53,29.8,28.67327986621741
54,54,27.8,28.389240103815183
55,55,27.7,28.059290323438656
56,56,27.3,27.73810979570806
57,57,28.9,27.45780879851077
58,58,30.8,31.147349428938057
59,59,27.7,29.99659541847811
60,60,27.3,29.829734095499468
61,61,26.3,29.227022229011983
62,62,26.1,28.49520224762397
63,63,25.4,28.10984481259968
64,64,25.6,27.77591483635741
65,65,25.6,27.53122690765175
66,66,24.4,27.87697471013828
67,67,25.2,27.74427514365636
68,68,24.7,27.94184180903858
69,69,24.7,28.04481675992551
70,70,24.6,28.00719176926049
71,71,24.4,27.935722837601396
72,72,23.9,28.00202488031621
73,73,24.5,27.947101451005093
74,74,23.9,27.90286098743094
75,75,24.4,28.13034050248268
76,76,24.1,29.67992978050611
77,77,24.4,29.359661778832464
78,78,24.7,29.136350693721
79,79,23.7,29.517901162788714
80,80,24.4,29.249809464150104
81,81,23.9,29.21419775967351
82,82,25.4,30.830438268260156
83,83,25.1,30.31879895748331
84,84,24.1,29.96584369956341
85,85,23.9,29.495367634446698
86,86,23.9,29.309400552903494
87,87,23.9,29.478341998807167
88,88,24.7,29.640054165036958
89,89,26.3,29.35208603934024
90,90,25.4,29.477796392794044
91,91,26.1,29.367671275105124
92,92,25.2,29.35910526069908
93,93,24.2,29.17524421836653
94,94,24.1,29.71956805735956
95,95,24.4,29.55831147215073
96,96,24.9,29.549600872151213
97,97,26.1,30.7205859535778
98,98,24.1,30.540593257878296
99,99,26.1,30.51956014607237
100,100,28.2,30.54291208343407
101,101,28.4,30.618088407952342
102,102,26.8,30.837220151003283
103,103,28.7,31.00082011403848
104,104,30.0,31.04350014441509
105,105,30.0,33.12834528949344
106,106,29.1,34.161264769299024
107,107,30.2,33.42755017103043
108,108,28.2,33.13159710133166
109,109,29.4,33.62703736957885
110,110,27.5,35.099382476294274
111,111,28.9,35.14947933841179
112,112,29.6,35.17606944746138
113,113,30.9,35.71994043346352
114,114,32.1,37.723656692420406
115,115,33.1,36.43652300292001
116,116,38.5,35.94639420921058
117,117,37.9,37.10870142699843
118,118,47.3,42.397536043244735
119,119,42.1,41.685711158222674
120,120,46.6,43.326214766212935
